name,dependency_pkg
bmww-api,beautifulsoup4
bmww-api,requests
kavk-api,aiohttp
rocketchat-API,packaging
rocketchat-API,requests
fortigate-api,vhelpers
fortigate-api,requests
schoolsoft-api,datetime
schoolsoft-api,requests
API7,requests
API7,pillow
API7,jupyter
API7,python-dateutil
API7,numpy
API7,opencv-python
API7,mkdocs
rs3-api,requests
hella-api,requests
keygen.api,typer
ubkg-api,neo4j
ubkg-api,setuptools
ubkg-api,Flask
ubkg-api,python-dateutil
dc-api,tenacity
dc-api,aiohttp
dc-api,lxml
dexblue-api,websockets
dexblue-api,web3
zevercloud-api,black
zevercloud-api,pytest
zevercloud-api,requests
